map_size,map_area,num_agents,agent_density,density,FRA,FRA_sq,FDA,FDA_sq,FRAxFDA,FRA_per_area,FDA_per_area,FRAxAgentDens,FDAxAgentDens,BN,MC,pred_raw,complexity_calibrated,curriculum_stage,success_rate
64,4096,8,0.001953125,0.3,0.688876446435237,0.47455075845324,0.654052734375,0.4277849793434143,0.4505615234375,0.0001681827261804778,0.00015968084335327148,0.0013454618094438224,0.0012774467468261719,0.376860119047619,0.0344827586206896,0.80783856,0.5826446,2,0.76
64,4096,8,0.001953125,0.1,0.8942914515203672,0.7997572002624052,0.85107421875,0.7243273258209229,0.7611083984375,0.00021833287390633964,0.00020778179168701172,0.001746662991250717,0.0016622543334960938,0.067396313,1.0,0.7692277,0.7231405,2,0.72
64,4096,4,0.0009765625,0.1,0.8835120254998551,0.7805934992028566,0.842529296875,0.7098556160926819,0.744384765625,0.00021570117810055056,0.00020569562911987305,0.0008628047124022022,0.0008227825164794922,0.067396313,1.0,0.7854235,0.69008267,2,0.73
64,4096,4,0.0009765625,0.3,0.6903356694946514,0.4765633365766286,0.661865234375,0.4380655884742737,0.4569091796875,0.00016853898181021763,0.00016158819198608398,0.0006741559272408705,0.0006463527679443359,0.376860119047619,0.0344827586206896,0.8425532,0.5082644,2,0.84
64,4096,4,0.0009765625,0.5,0.4890795631825273,0.23919881912281174,0.469482421875,0.22041374444961548,0.2296142578125,0.00011940419023010921,0.00011461973190307617,0.00047761676092043684,0.0004584789276123047,0.7036458333333333,0.003521127,0.78005373,0.7066116,2,0.87
64,4096,4,0.0009765625,0.7,0.2965271593944791,0.08792835625855881,0.274169921875,0.0751691460609436,0.08129882812500001,7.239432602404275e-05,6.693601608276367e-05,0.000289577304096171,0.0002677440643310547,0.9131190269331017,0.00203666,0.9723178,0.1694215,0,0.955
64,4096,2,0.00048828125,0.7,0.3073630136986301,0.09447202218990429,0.28515625,0.0813140869140625,0.087646484375,7.503979826626712e-05,6.961822509765625e-05,0.00015007959653253424,0.0001392364501953125,0.9131190269331017,0.00203666,0.99011546,0.053719006,0,0.995
64,4096,2,0.00048828125,0.5,0.4981799271970878,0.2481832398620957,0.469482421875,0.22041374444961548,0.23388671874999997,0.00012162595878835152,0.00011461973190307617,0.00024325191757670303,0.00022923946380615234,0.7036458333333333,0.003521127,0.71106434,0.9545455,3,0.665
64,4096,2,0.00048828125,0.3,0.6907943578322198,0.47719684481282887,0.65771484375,0.4325888156890869,0.454345703125,0.00016865096626763178,0.00016057491302490234,0.00033730193253526356,0.0003211498260498047,0.376860119047619,0.0344827586206896,0.73989606,0.8305785,3,0.84
64,4096,2,0.00048828125,0.1,0.8807937427578215,0.7757976172813315,0.8427734375,0.7102670669555664,0.7423095703125,0.00021503753485298377,0.00020575523376464844,0.00043007506970596754,0.0004115104675292969,0.067396313,1.0,0.83800673,0.5247934,2,0.84
96,9216,2,0.00021701388888888888,0.1,0.890642686454534,0.7932443949349495,0.8627387152777778,0.7443180908391506,0.7683919270833334,9.664091649897287e-05,9.36131418487172e-05,0.00019328183299794575,0.0001872262836974344,0.060301508,1.0,0.7551186,0.8057851,3,0.755
