algo,stage_idx,config_id,config_json,size,num_agents,density,obs_radius,max_episode_steps,density_actual,LDD,BN,MC,DLR,success_rate,grid_hash,episodes_per_stage
CL-Gray3D,4,sz32_a4_d0.70,"{""obs_radius"":5,""density"":0.7,""size"":32,""num_agents"":4,""max_episode_steps"":100}",32,4,0.7,5,100,0.20703125,0.030569085797584338,0.094827586,1,0.031942733990147784,0.975,b6d75382fb9dd408,200
CL-Gray3D,5,sz32_a4_d0.50,"{""obs_radius"":5,""density"":0.5,""size"":32,""num_agents"":4,""max_episode_steps"":100}",32,4,0.5,5,100,0.20703125,0.030569085797584338,0.094827586,1,0.031942733990147784,0.9,b6d75382fb9dd408,200
CL-Gray3D,6,sz32_a4_d0.30,"{""obs_radius"":5,""density"":0.3,""size"":32,""num_agents"":4,""max_episode_steps"":100}",32,4,0.3,5,100,0.20703125,0.030569085797584338,0.094827586,1,0.031942733990147784,0.86,b6d75382fb9dd408,200
CL-Gray3D,7,sz32_a4_d0.10,"{""obs_radius"":5,""density"":0.1,""size"":32,""num_agents"":4,""max_episode_steps"":100}",32,4,0.1,5,100,0.20703125,0.030569085797584338,0.094827586,1,0.031942733990147784,0.76,b6d75382fb9dd408,200
CL-Gray3D,8,sz32_a8_d0.10,"{""obs_radius"":5,""density"":0.1,""size"":32,""num_agents"":8,""max_episode_steps"":100}",32,8,0.1,5,100,0.20703125,0.030569085797584338,0.094827586,1,0.12777093596059114,0.72,b6d75382fb9dd408,200
CL-Gray3D,9,sz32_a8_d0.30,"{""obs_radius"":5,""density"":0.3,""size"":32,""num_agents"":8,""max_episode_steps"":100}",32,8,0.3,5,100,0.20703125,0.030569085797584338,0.094827586,1,0.12777093596059114,0.78,b6d75382fb9dd408,200
CL-Gray3D,10,sz32_a8_d0.50,"{""obs_radius"":5,""density"":0.5,""size"":32,""num_agents"":8,""max_episode_steps"":100}",32,8,0.5,5,100,0.20703125,0.030569085797584338,0.094827586,1,0.12777093596059114,0.965,b6d75382fb9dd408,200
CL-Gray3D,11,sz32_a8_d0.70,"{""obs_radius"":5,""density"":0.7,""size"":32,""num_agents"":8,""max_episode_steps"":100}",32,8,0.7,5,100,0.20703125,0.030569085797584338,0.094827586,1,0.12777093596059114,0.995,b6d75382fb9dd408,200
CL-Gray3D,12,sz32_a16_d0.70,"{""obs_radius"":5,""density"":0.7,""size"":32,""num_agents"":16,""max_episode_steps"":100}",32,16,0.7,5,100,0.20703125,0.030569085797584338,0.094827586,1,0.5110837438423645,0.915,b6d75382fb9dd408,200
CL-Gray3D,13,sz32_a16_d0.50,"{""obs_radius"":5,""density"":0.5,""size"":32,""num_agents"":16,""max_episode_steps"":100}",32,16,0.5,5,100,0.20703125,0.030569085797584338,0.094827586,1,0.5110837438423645,0.895,b6d75382fb9dd408,200
CL-Gray3D,14,sz32_a16_d0.30,"{""obs_radius"":5,""density"":0.3,""size"":32,""num_agents"":16,""max_episode_steps"":100}",32,16,0.3,5,100,0.20703125,0.030569085797584338,0.094827586,1,0.5110837438423645,0.785,b6d75382fb9dd408,200
CL-Gray3D,15,sz32_a16_d0.10,"{""obs_radius"":5,""density"":0.1,""size"":32,""num_agents"":16,""max_episode_steps"":100}",32,16,0.1,5,100,0.20703125,0.030569085797584338,0.094827586,1,0.5110837438423645,0.78,b6d75382fb9dd408,200
CL-Gray3D,0,sz32_a2_d0.10,"{""max_episode_steps"":100,""size"":32,""num_agents"":2,""obs_radius"":5,""density"":0.1}",32,2,0.1,5,100,0.20703125,0.030569085797584338,0.094827586,1,0.007985683,0.715,b6d75382fb9dd408,200
CL-Gray3D,1,sz32_a2_d0.30,"{""max_episode_steps"":100,""size"":32,""num_agents"":2,""obs_radius"":5,""density"":0.3}",32,2,0.3,5,100,0.20703125,0.030569085797584338,0.094827586,1,0.007985683,0.73,b6d75382fb9dd408,200
CL-Gray3D,2,sz32_a2_d0.50,"{""max_episode_steps"":100,""size"":32,""num_agents"":2,""obs_radius"":5,""density"":0.5}",32,2,0.5,5,100,0.20703125,0.030569085797584338,0.094827586,1,0.007985683,0.995,b6d75382fb9dd408,200
CL-Gray3D,3,sz32_a2_d0.70,"{""max_episode_steps"":100,""size"":32,""num_agents"":2,""obs_radius"":5,""density"":0.7}",32,2,0.7,5,100,0.20703125,0.030569085797584338,0.094827586,1,0.007985683,0.925,b6d75382fb9dd408,200
CL-Gray3D,4,sz32_a4_d0.70,"{""max_episode_steps"":100,""size"":32,""num_agents"":4,""obs_radius"":5,""density"":0.7}",32,4,0.7,5,100,0.20703125,0.030569085797584338,0.094827586,1,0.031942733990147784,0.99,b6d75382fb9dd408,200
CL-Gray3D,5,sz32_a4_d0.50,"{""max_episode_steps"":100,""size"":32,""num_agents"":4,""obs_radius"":5,""density"":0.5}",32,4,0.5,5,100,0.20703125,0.030569085797584338,0.094827586,1,0.031942733990147784,0.815,b6d75382fb9dd408,200
CL-Gray3D,6,sz32_a4_d0.30,"{""max_episode_steps"":100,""size"":32,""num_agents"":4,""obs_radius"":5,""density"":0.3}",32,4,0.3,5,100,0.20703125,0.030569085797584338,0.094827586,1,0.031942733990147784,0.86,b6d75382fb9dd408,200
CL-Gray3D,7,sz32_a4_d0.10,"{""max_episode_steps"":100,""size"":32,""num_agents"":4,""obs_radius"":5,""density"":0.1}",32,4,0.1,5,100,0.20703125,0.030569085797584338,0.094827586,1,0.031942733990147784,0.855,b6d75382fb9dd408,200
CL-Gray3D,8,sz32_a8_d0.10,"{""max_episode_steps"":100,""size"":32,""num_agents"":8,""obs_radius"":5,""density"":0.1}",32,8,0.1,5,100,0.20703125,0.030569085797584338,0.094827586,1,0.12777093596059114,0.81,b6d75382fb9dd408,200
CL-Gray3D,9,sz32_a8_d0.30,"{""max_episode_steps"":100,""size"":32,""num_agents"":8,""obs_radius"":5,""density"":0.3}",32,8,0.3,5,100,0.20703125,0.030569085797584338,0.094827586,1,0.12777093596059114,0.81,b6d75382fb9dd408,200
CL-Gray3D,10,sz32_a8_d0.50,"{""max_episode_steps"":100,""size"":32,""num_agents"":8,""obs_radius"":5,""density"":0.5}",32,8,0.5,5,100,0.20703125,0.030569085797584338,0.094827586,1,0.12777093596059114,0.93,b6d75382fb9dd408,200
